"site","Genus_Species_Correct","Done"
"FK","Bromus.arvensis",1
"FK","Carex.duriuscula",0
"FK","Poa.secunda",0
"FK","Bromus.tectorum",1
"FK","Hesperostipa.comata",1
"FK","Sphaeralcea.coccinea",1
"FK","Logfia.arvensis",1
"FK","Pascopyrum.smithii",0
"FK","Carex.filifolia",0
"FK","Artemisia.frigida",0
"FK","Opuntia.polyacantha",0
"FK","Bouteloua.gracilis",0
"FK","Koeleria.macrantha",1
"FK","Tragopogon.dubius",1
"FK","Plantago.patagonica",0
"FK","Androsace.occidentalis",0
"FK","Taraxacum.officinale",0
"FK","Artemisia.dracunculus",0
"FK","Artemisia.tridentata",0
"FK","Aristida.purpurea",1
"FK","Vulpia.octoflora",0
"FK","Psoralidium.tenuiflorum",0
"FK","Pediomelum.esculentum",1
"FK","Lygodesmia.juncea",0
"FK","Alyssum.desertorum",0
"FK","Bouteloua.dactyloides",0
"FK","Linum.rigidum",0
"FK","Asclepias.stenophylla",0
"FK","Coryphantha.viviparus",0
"FK","Lithospermum.incisum",0
"FK","Lepidium.densiflorum",0
"FK","Astragalus.gracilis",0
"FK","opuntia_pads",0
"FK","Oenothera.suffrutescens",0
"FK","Euphorbia.nutans",0
"FK","Liatris.punctata",0
"FK","Vicia.americana",0
"FK","Conyza.canadensis",0
"FK","Astragalus.purshii",0
"FK","Artemisia.cana",0
"FK","Hedeoma.hispida",0
"FK","Lactuca.serriola",0
"FK","Sporobolus.cryptandrus",0
"TB","Bouteloua.gracilis",1
"TB","Koeleria.macrantha",1
"TB","Aristida.purpurea",0
"TB","Carex.filifolia",1
"TB","Artemisia.frigida",0
"TB","Logfia.arvensis",1
"TB","Bromus.tectorum",1
"TB","Pascopyrum.smithii",1
"TB","Opuntia.polyacantha",0
"TB","Hesperostipa.comata",0
"TB","Vulpia.octoflora",0
"TB","Alyssum.desertorum",0
"TB","Poa.secunda",0
"TB","Bromus.arvensis",0
"TB","Artemisia.tridentata",0
"TB","Psoralidium.tenuiflorum",1
"TB","Lepidium.densiflorum",0
"TB","Carex.duriuscula",0
"TB","Sphaeralcea.coccinea",0
"TB","Lomatium.foeniculaceum",0
"TB","Plantago.patagonica",1
"TB","Vicia.americana",1
"TB","Gutierrezia.sarothrae",0
"TB","Phlox.hoodii",1
"TB","Lithospermum.incisum",0
"TB","Allium.textile",0
"TB","Draba.reptans",0
"TB","Descurainia.pinnata",0
"TB","Nassella.viridula",0
"TB","Picradeniopsis.oppositifolia",0
"TB","Taraxacum.officinale",0
"TB","Erigeron.canus",0
"TB","Musineon.divaricatum",0
"TB","Tetraneuris.acaulis",0
"TB","Hedeoma.hispida",0
"TB","Antennaria.parvifolia",0
"TB","Sporobolus.cryptandrus",0
"TB","Polygonum.aviculare",0
"TB","Tradescantia.occidentalis",0
"TB","Erigeron.pumilus",0
"TB","Elymus.elymoides",0
"TB","Cirsium.undulatum",0
"TB","Eremogone.hookeri",0
"TB","Oenothera.suffrutescens",0
"TB","Astragalus.bisulcatus",0
"TB","Tragopogon.dubius",0
"TB","OOMU",0
"TB","Collomia.linearis",0
"TB","MODI",0
"TB","NOCU",0
